siteyr,block,treatment,yield.kgha
NY20,1,CT,2283
NY20,1,FM,2855
NY20,1,PL,2749
NY20,1,SN,3329
NY20,2,CT,2378
NY20,2,FM,2758
NY20,2,PL,1982
NY20,2,SN,2445
NY20,3,CT,2170
NY20,3,FM,2526
NY20,3,PL,2069
NY20,3,SN,2268
NY20,4,CT,2089
NY20,4,FM,2796
NY20,4,PL,2580
NY20,4,SN,2264
NY21,1,CT,3868
NY21,1,FM,3785
NY21,1,PL,4309
NY21,1,SN,3619
NY21,2,CT,3786
NY21,2,FM,3378
NY21,2,PL,5006
NY21,2,SN,3409
NY21,3,CT,2982
NY21,3,FM,4598
NY21,3,PL,3234
NY21,3,SN,4545
NY21,4,CT,3224
NY21,4,FM,3965
NY21,4,PL,4115
NY21,4,SN,3712
NY21,5,CT,3675
NY21,5,FM,3193
NY21,5,PL,3400
NY21,5,SN,3509
WI21,1,CT,2657
WI21,1,FM,2628
WI21,1,PL,2769
WI21,1,SN,2411
WI21,2,CT,2619
WI21,2,FM,2471
WI21,2,PL,2622
WI21,2,SN,2170
WI21,3,CT,1971
WI21,3,FM,1372
WI21,3,PL,2342
WI21,3,SN,2912
WI21,4,CT,2098
WI21,4,FM,1652
WI21,4,PL,2406
WI21,4,SN,2414
NY22,1,CT,2497
NY22,1,FM,2287
NY22,1,PL,2908
NY22,1,SN,2602
NY22,2,CT,1511
NY22,2,FM,2279
NY22,2,PL,2232
NY22,2,SN,3433
NY22,3,CT,2681
NY22,3,FM,2117
NY22,3,PL,2770
NY22,3,SN,1321
NY22,4,CT,2596
NY22,4,FM,2386
NY22,4,PL,1129
NY22,4,SN,2423
NY22,5,CT,2660
NY22,5,FM,3006
NY22,5,PL,2391
NY22,5,SN,2332
WI22,1,SN,2725
WI22,1,PL,2802
WI22,1,FM,3100
WI22,1,CT,2987
WI22,2,PL,2935
WI22,2,CT,2999
WI22,2,FM,2899
WI22,2,SN,2664
WI22,3,PL,2894
WI22,3,SN,2092
WI22,3,CT,2263
WI22,3,FM,2333
WI22,4,SN,2319
WI22,4,CT,2625
WI22,4,FM,2344
WI22,4,PL,2223
